season,rank,player,share
2010,1,Derrick Rose,0.977
2010,2,Dwight Howard,0.531
2010,3,LeBron James,0.431
2010,4,Kobe Bryant,0.354
2010,5,Kevin Durant,0.157
2010,6,Dirk Nowitzki,0.093
2010,7,Dwyane Wade,0.020
2010,8,Manu Ginóbili,0.017
2010,9,Amar'e Stoudemire,0.007
2010,10,Blake Griffin,0.004
2010,10,Rajon Rondo,0.004
2010,12,Tony Parker,0.002
2010,13,Chris Paul,0.002
2011,1,LeBron James,0.888
2011,2,Kevin Durant,0.735
2011,3,Chris Paul,0.318
2011,4,Kobe Bryant,0.291
2011,5,Tony Parker,0.274
2011,6,Kevin Love,0.048
2011,7,Dwight Howard,0.011
2011,8,Rajon Rondo,0.010
2011,9,Steve Nash,0.006
2011,10,Dwyane Wade,0.005
2011,11,Derrick Rose,0.004
2011,12,Dirk Nowitzki,0.003
2011,12,Russell Westbrook,0.003
2011,14,Tim Duncan,0.002
2011,15,Joe Johnson,0.001
2012,1,LeBron James,0.998
2012,2,Kevin Durant,0.632
2012,3,Carmelo Anthony,0.393
2012,4,Chris Paul,0.239
2012,5,Kobe Bryant,0.152
2012,6,Tony Parker,0.071
2012,7,Tim Duncan,0.054
2012,8,James Harden,0.027
2012,9,Russell Westbrook,0.007
2012,10,Dwyane Wade,0.004
2012,11,Stephen Curry,0.002
2012,12,Kevin Garnett,0.001
2012,12,Marc Gasol,0.001
2012,12,Ty Lawson,0.001
2012,12,David Lee,0.001
2012,12,Joakim Noah,0.001
2013,1,Kevin Durant,0.986
2013,2,LeBron James,0.713
2013,3,Blake Griffin,0.347
2013,4,Joakim Noah,0.258
2013,5,James Harden,0.068
2013,6,Stephen Curry,0.053
2013,7,Chris Paul,0.036
2013,8,Al Jefferson,0.027
2013,9,Paul George,0.026
2013,10,LaMarcus Aldridge,0.021
2013,11,Kevin Love,0.020
2013,12,Tim Duncan,0.017
2013,12,Tony Parker,0.017
2013,14,Dirk Nowitzki,0.006
2013,15,Carmelo Anthony,0.003
2013,16,Goran Dragić,0.002
2013,17,Mike Conley,0.001
2014,1,Stephen Curry,0.922
2014,2,James Harden,0.720
2014,3,LeBron James,0.425
2014,4,Russell Westbrook,0.271
2014,5,Anthony Davis,0.156
2014,6,Chris Paul,0.095
2014,7,LaMarcus Aldridge,0.005
2014,8,Marc Gasol,0.002
2014,8,Blake Griffin,0.002
2014,10,Tim Duncan,0.001
2014,10,Kawhi Leonard,0.001
2014,10,Klay Thompson,0.001
2015,1,Stephen Curry,1.000
2015,2,Kawhi Leonard,0.484
2015,3,LeBron James,0.482
2015,4,Russell Westbrook,0.371
2015,5,Kevin Durant,0.112
2015,6,Chris Paul,0.082
2015,7,Draymond Green,0.038
2015,8,Damian Lillard,0.020
