team,proj_wins,net_per100,players,roster_minutes_share
OKC,61.796,8.639,11,0.792
HOU,55.685,6.100,15,0.993
BOS,52.990,4.981,14,0.828
SAS,52.822,4.911,13,0.966
DEN,49.432,3.503,13,0.867
CLE,47.435,2.673,12,0.782
TOR,45.539,1.886,14,0.849
ORL,44.995,1.660,16,0.989
PHI,44.721,1.546,14,0.986
ATL,44.572,1.484,13,0.949
NYK,44.473,1.443,17,1.000
DET,44.172,1.318,14,0.827
GSW,43.460,1.022,15,0.905
MIN,43.233,0.928,14,0.960
LAL,42.666,0.692,15,0.906
CHA,42.627,0.676,15,1.000
POR,42.503,0.624,15,1.000
MIA,40.572,-0.178,12,0.817
PHX,39.170,-0.760,16,0.947
IND,38.074,-1.215,13,0.909
DAL,36.848,-1.725,15,1.000
LAC,34.810,-2.571,17,0.990
MEM,32.310,-3.610,19,1.000
NOP,31.817,-3.815,18,1.000
UTA,31.796,-3.824,14,0.910
MIL,31.683,-3.871,15,1.000
CHI,30.538,-4.346,12,0.766
SAC,29.421,-4.810,10,0.763
BKN,27.532,-5.595,13,0.866
WAS,22.310,-7.764,13,0.989
